year,site,rep,plot,treatment,keep_flag,d15n_leaftip
2021,MO01401,1,106,PROVEN40,FALSE,1.2838005276
2021,MO01401,1,110,UTC,FALSE,1.0238080736
2021,MO01401,2,208,UTC,FALSE,1.5634150536
2021,MO01401,2,210,PROVEN40,FALSE,0.9973182764
2021,MO01401,3,303,PROVEN40,FALSE,3.612940474
2021,MO01401,3,306,UTC,FALSE,1.8106531608
2021,MO01401,4,407,UTC,FALSE,0.9342740423
2021,MO01401,4,408,PROVEN40,FALSE,0.5481254048
2021,MO01401,5,502,PROVEN40,FALSE,2.0113713085
2021,MO01401,5,504,UTC,FALSE,3.6259874781
2021,MO01401,6,601,PROVEN40,FALSE,4.261330703
2021,MO01401,6,608,UTC,FALSE,5.2629030806
2021,KS01401,1,101,UTC,FALSE,4.0443598354
2021,KS01401,1,107,PROVEN40,FALSE,2.7728009562000002
2021,KS01401,2,204,PROVEN40,FALSE,0.9648678918
2021,KS01401,2,207,UTC,FALSE,1.4432556786
2021,KS01401,3,303,UTC,FALSE,0.936910164
2021,KS01401,3,310,PROVEN40,FALSE,2.3171935402
2021,KS01401,4,408,PROVEN40,FALSE,2.5443073291
2021,KS01401,4,410,UTC,FALSE,2.6353796318
2021,KS01401,5,504,UTC,FALSE,3.1572546248
2021,KS01401,5,507,PROVEN40,FALSE,3.7968821708
2021,KS01401,6,603,UTC,FALSE,2.9105186524
2021,KS01401,6,606,PROVEN40,FALSE,2.7924749128
2021,IA01401,1,101,PROVEN40,TRUE,2.999751836
2021,IA01401,1,104,UTC,TRUE,3.1293677336
2021,IA01401,2,202,UTC,TRUE,2.6067893528
2021,IA01401,2,205,PROVEN40,TRUE,2.2609913576
2021,IA01401,3,305,UTC,TRUE,3.2795575832
2021,IA01401,3,308,PROVEN40,TRUE,2.7909262232
2021,IA01401,4,407,UTC,TRUE,2.7785574435
2021,IA01401,4,410,PROVEN40,TRUE,3.5239094868
2021,IA01401,5,502,UTC,TRUE,2.3335413641
2021,IA01401,5,503,PROVEN40,TRUE,3.2844389508
2021,IA01401,6,608,PROVEN40,TRUE,2.3235634251
2021,IA01401,6,609,UTC,TRUE,2.1421120735
2021,IA03401,1,106,PROVEN40,FALSE,6.876026195
2021,IA03401,1,109,UTC,FALSE,15.3583617041
2021,IA03401,2,205,PROVEN40,FALSE,6.9355114056
2021,IA03401,2,208,UTC,FALSE,6.7870394105
2021,IA03401,3,303,PROVEN40,FALSE,7.3103253233
2021,IA03401,3,306,UTC,FALSE,9.9205252931
2021,IA03401,4,405,UTC,FALSE,6.61572557
2021,IA03401,4,408,PROVEN40,FALSE,8.0571365087
2021,IA03401,5,502,PROVEN40,FALSE,11.5244863154
2021,IA03401,5,503,UTC,FALSE,9.8520139365
2021,IA03401,6,605,PROVEN40,FALSE,9.7326336157
2021,IA03401,6,609,UTC,FALSE,12.4841204326
2021,TN01401,1,102,UTC,FALSE,4.990227732
2021,TN01401,1,103,PROVEN40,FALSE,4.770805143
2021,TN01401,2,201,PROVEN40,FALSE,6.132667409
2021,TN01401,2,208,UTC,FALSE,4.4834194943
2021,TN01401,3,304,PROVEN40,FALSE,5.5265327751
2021,TN01401,3,305,UTC,FALSE,5.3603114794
2021,TN01401,4,403,UTC,FALSE,6.2680589146
2021,TN01401,4,406,PROVEN40,FALSE,6.805404828
2021,TN01401,5,501,UTC,FALSE,5.8994428545
2021,TN01401,5,507,PROVEN40,FALSE,6.0710295519
2021,NE01401,1,102,UTC,FALSE,5.6017909088
2021,NE01401,1,103,PROVEN40,FALSE,6.5618039648
2021,NE01401,2,204,PROVEN40,FALSE,3.0207558072
2021,NE01401,2,209,UTC,FALSE,3.6417642528
2021,NE01401,3,301,PROVEN40,FALSE,1.9217408608
2021,NE01401,3,302,UTC,FALSE,3.173757888
2021,NE01401,4,404,PROVEN40,FALSE,4.7327790904
2021,NE01401,4,405,UTC,FALSE,6.498685349
2021,NE01401,5,507,PROVEN40,FALSE,4.1072211704
2021,NE01401,5,508,UTC,FALSE,4.8008059196
2021,NE01401,6,601,PROVEN40,FALSE,2.7330814433
2021,NE01401,6,610,UTC,FALSE,2.0064211208
2021,TX01401,1,105,PROVEN40,FALSE,9.0305337568
2021,TX01401,1,110,UTC,FALSE,19.700688232
2021,TX01401,2,207,UTC,FALSE,4.3213040256
2021,TX01401,2,210,PROVEN40,FALSE,9.7456463592
2021,TX01401,3,303,UTC,FALSE,7.828430464
2021,TX01401,3,304,PROVEN40,FALSE,10.184037164
2021,TX01401,4,402,UTC,FALSE,0.6573710799
2021,TX01401,4,410,PROVEN40,FALSE,-1.955073738
2021,TX01401,5,501,PROVEN40,FALSE,-0.8570896841
2021,TX01401,5,504,UTC,FALSE,1.8331247406
2021,TX01401,6,605,PROVEN40,FALSE,-2.8381680889
2021,TX01401,6,606,UTC,FALSE,-1.6542281538
2021,IN02401,1,105,PROVEN40,FALSE,5.5984895592
2021,IN02401,1,106,UTC,FALSE,4.8570767464
2021,IN02401,2,202,PROVEN40,FALSE,4.5878987388
2021,IN02401,2,209,UTC,FALSE,3.329494129
2021,IN02401,3,304,UTC,FALSE,5.5327657354
2021,IN02401,3,308,PROVEN40,FALSE,6.5815160952
2021,IN02401,4,402,UTC,FALSE,4.5807297888
2021,IN02401,4,406,PROVEN40,FALSE,2.0544743424
2021,IN02401,5,505,PROVEN40,FALSE,6.2822489088
2021,IN02401,5,507,UTC,FALSE,5.5205688792
2021,IN02401,6,601,PROVEN40,FALSE,6.344304312
2021,IN02401,6,609,UTC,FALSE,5.3514178608
2021,KS02401,2,203,UTC,FALSE,3.0155348553
2021,KS02401,2,205,PROVEN40,FALSE,1.4836582346
2021,KS02401,4,403,UTC,FALSE,1.681702135
2021,KS02401,5,502,UTC,FALSE,1.7128401036
2021,KS02401,5,504,PROVEN40,FALSE,3.1672845724
2021,KS02401,6,603,PROVEN40,FALSE,2.0895090786
2021,KS02401,6,605,UTC,FALSE,2.0844868256
2022,NY01301,1,102,UTC,TRUE,2.22
2022,NY01301,1,108,UTC,TRUE,0.91
2022,NY01301,1,109,PROVEN40,TRUE,0.91
2022,NY01301,2,203,UTC,TRUE,1.6
2022,NY01301,2,204,PROVEN40,TRUE,0.94
2022,NY01301,2,208,UTC,TRUE,-0.51
2022,NY01301,3,302,PROVEN40,TRUE,3.3599999
2022,NY01301,3,306,UTC,TRUE,1.87
2022,NY01301,3,310,UTC,TRUE,2.23
2022,NY01301,4,402,UTC,TRUE,3.43
2022,NY01301,4,404,UTC,TRUE,3.43
2022,NY01301,4,407,PROVEN40,TRUE,2.79
2022,NY01301,5,504,PROVEN40,TRUE,4.0099999
2022,NY01301,5,507,UTC,TRUE,3.8999999
2022,NY01301,5,509,UTC,TRUE,3.5099999
2022,NY01301,6,602,UTC,TRUE,2.4199999
2022,NY01301,6,605,UTC,TRUE,2.68
2022,NY01301,6,609,PROVEN40,TRUE,4.73
2022,KS01301,1,102,UTC,TRUE,8.6799999
2022,KS01301,1,108,UTC,TRUE,7.9
2022,KS01301,1,109,PROVEN40,TRUE,9.0999999
2022,KS01301,2,203,UTC,TRUE,7.4
2022,KS01301,2,204,PROVEN40,TRUE,5.7
2022,KS01301,2,208,UTC,TRUE,6.12
2022,KS01301,3,302,PROVEN40,TRUE,8.14
2022,KS01301,3,306,UTC,TRUE,7.7599999
2022,KS01301,3,310,UTC,TRUE,9.99
2022,KS01301,4,402,UTC,TRUE,8.15
2022,KS01301,4,404,UTC,TRUE,9.1899999
2022,KS01301,4,407,PROVEN40,TRUE,6.73
2022,KS01301,5,504,PROVEN40,TRUE,5.73
2022,KS01301,5,507,UTC,TRUE,8.4299999
2022,KS01301,5,509,UTC,TRUE,8.6099999
2022,KS01301,6,602,UTC,TRUE,4.8099999
2022,KS01301,6,605,UTC,TRUE,5.0599999
2022,KS01301,6,609,PROVEN40,TRUE,8.1099999
2022,IA02301,1,102,UTC,FALSE,2.8399999
2022,IA02301,1,108,UTC,FALSE,2.74
2022,IA02301,1,109,PROVEN40,FALSE,3.4599999
2022,IA02301,2,203,UTC,FALSE,3.0299999
2022,IA02301,2,204,PROVEN40,FALSE,2.8599999
2022,IA02301,2,208,UTC,FALSE,2.7
2022,IA02301,3,302,PROVEN40,FALSE,2.5099999
2022,IA02301,3,306,UTC,FALSE,2.7999999
2022,IA02301,3,310,UTC,FALSE,3.24
2022,IA02301,4,402,UTC,FALSE,3.1299999
2022,IA02301,4,404,UTC,FALSE,3.2599999
2022,IA02301,4,407,PROVEN40,FALSE,2.8799999
2022,IA02301,5,504,PROVEN40,FALSE,2.8799999
2022,IA02301,5,507,UTC,FALSE,2.29
2022,IA02301,5,509,UTC,FALSE,3.2799999
2022,IA02301,6,602,UTC,FALSE,2.1499999
2022,IA02301,6,605,UTC,FALSE,2.2
2022,IA02301,6,609,PROVEN40,FALSE,3.29
2022,IL03301,1,102,UTC,FALSE,10.42
2022,IL03301,1,108,UTC,FALSE,10.6999999
2022,IL03301,1,109,PROVEN40,FALSE,9.8599999
2022,IL03301,2,203,UTC,FALSE,4.6799999
2022,IL03301,2,204,PROVEN40,FALSE,8.6799999
2022,IL03301,2,208,UTC,FALSE,7.66
2022,IL03301,3,302,PROVEN40,FALSE,6.4
2022,IL03301,3,306,UTC,FALSE,7.7199999
2022,IL03301,3,310,UTC,FALSE,4.23
2022,IL03301,4,402,UTC,FALSE,5.86
2022,IL03301,4,404,UTC,FALSE,8.1999999
2022,IL03301,4,407,PROVEN40,FALSE,5.82
2022,IL03301,5,504,PROVEN40,FALSE,8.0099999
2022,IL03301,5,507,UTC,FALSE,5.5199999
2022,IL03301,5,509,UTC,FALSE,5.98
2022,IL03301,6,602,UTC,FALSE,5.3399999
2022,IL03301,6,605,UTC,FALSE,3.45
2022,IL03301,6,609,PROVEN40,FALSE,6.41
2022,IN02301,1,102,UTC,FALSE,6.5899999
2022,IN02301,1,108,UTC,FALSE,8.31
2022,IN02301,1,109,PROVEN40,FALSE,11.17
2022,IN02301,2,203,UTC,FALSE,6.66
2022,IN02301,2,204,PROVEN40,FALSE,7.7599999
2022,IN02301,2,208,UTC,FALSE,3.5099999
2022,IN02301,3,302,PROVEN40,FALSE,6.12
2022,IN02301,3,306,UTC,FALSE,3.74
2022,IN02301,3,310,UTC,FALSE,7.7199999
2022,IN02301,4,402,UTC,FALSE,3.08
2022,IN02301,4,404,UTC,FALSE,5.41
2022,IN02301,4,407,PROVEN40,FALSE,4.91
2022,IN02301,5,504,PROVEN40,FALSE,4.5899999
2022,IN02301,5,507,UTC,FALSE,3.96
2022,IN02301,5,509,UTC,FALSE,3.49
2022,IN02301,6,602,UTC,FALSE,4.75
2022,IN02301,6,605,UTC,FALSE,6.45
2022,IN02301,6,609,PROVEN40,FALSE,6.69
2022,IN03301,1,103,UTC,FALSE,6.94
2022,IN03301,1,108,UTC,FALSE,5.9199999
2022,IN03301,1,109,PROVEN40,FALSE,6.5099999
2022,IN03301,2,202,UTC,FALSE,3.8999999
2022,IN03301,2,204,PROVEN40,FALSE,3.5
2022,IN03301,2,208,UTC,FALSE,3.85
2022,IN03301,3,303,PROVEN40,FALSE,5.08
2022,IN03301,3,306,UTC,FALSE,3.97
2022,IN03301,3,310,UTC,FALSE,6.2699999
2022,IN03301,4,403,UTC,FALSE,4.2699999
2022,IN03301,4,404,UTC,FALSE,3.7
2022,IN03301,4,407,PROVEN40,FALSE,4.2199999
2022,IN03301,5,504,PROVEN40,FALSE,3.99
2022,IN03301,5,507,UTC,FALSE,4.36
2022,IN03301,5,509,UTC,FALSE,4.74
2022,IN03301,6,603,UTC,FALSE,3.0699999
2022,IN03301,6,605,UTC,FALSE,2.7
2022,IN03301,6,609,PROVEN40,FALSE,3.52
2022,IL06301,1,102,UTC,TRUE,4.37
2022,IL06301,1,108,UTC,TRUE,0.97
2022,IL06301,1,109,PROVEN40,TRUE,1.81
2022,IL06301,2,203,UTC,TRUE,3.4399999
2022,IL06301,2,204,PROVEN40,TRUE,-1.05
2022,IL06301,2,208,UTC,TRUE,-0.95
2022,IL06301,3,302,PROVEN40,TRUE,2.4399999
2022,IL06301,3,306,UTC,TRUE,1.1799999
2022,IL06301,3,310,UTC,TRUE,1.34
2022,IL06301,4,402,UTC,TRUE,1.24
2022,IL06301,4,404,UTC,TRUE,3.1499999
2022,IL06301,4,407,PROVEN40,TRUE,2.47
2022,IL06301,5,504,PROVEN40,TRUE,1.4299999
2022,IL06301,5,507,UTC,TRUE,3.98
2022,IL06301,5,509,UTC,TRUE,0.65
2022,IL06301,6,602,UTC,TRUE,2.5499999
2022,IL06301,6,605,UTC,TRUE,2.9199999
2022,IL06301,6,609,PROVEN40,TRUE,2.0699999
2022,KY01301,1,102,UTC,TRUE,8.0399999
2022,KY01301,1,108,UTC,TRUE,10.13
2022,KY01301,1,109,PROVEN40,TRUE,10.1899999
2022,KY01301,2,203,UTC,TRUE,8.0099999
2022,KY01301,2,204,PROVEN40,TRUE,6.83
2022,KY01301,2,208,UTC,TRUE,11
2022,KY01301,3,302,PROVEN40,TRUE,6.0899999
2022,KY01301,3,306,UTC,TRUE,9.97
2022,KY01301,3,310,UTC,TRUE,8.56
2022,KY01301,4,402,UTC,TRUE,8.8499999
2022,KY01301,4,404,UTC,TRUE,10.89
2022,KY01301,4,407,PROVEN40,TRUE,8.63
2022,KY01301,5,504,PROVEN40,TRUE,10.93
2022,KY01301,5,507,UTC,TRUE,10.44
2022,KY01301,5,509,UTC,TRUE,8.6799999
2022,KY01301,6,602,UTC,TRUE,9.81
2022,KY01301,6,605,UTC,TRUE,10.41
2022,KY01301,6,609,PROVEN40,TRUE,9.6699999
2022,IA01501,1,102,PROVEN40,FALSE,4.54
2022,IA01501,1,103,UTC,FALSE,4.34
2022,IA01501,2,201,PROVEN40,FALSE,3.76
2022,IA01501,2,202,UTC,FALSE,7.735
2022,IA02501,1,102,PROVEN40,TRUE,7.105
2022,IA02501,1,103,UTC,TRUE,5.735
2022,IA02501,2,201,PROVEN40,TRUE,5.61
2022,IA02501,2,202,UTC,TRUE,7.255
2022,IA03501,1,102,PROVEN40,TRUE,1.845
2022,IA03501,1,103,UTC,TRUE,2.38
2022,IA03501,2,201,PROVEN40,TRUE,3.415
2022,IA03501,2,202,UTC,TRUE,5.18
2022,OH02501,1,102,PROVEN40,FALSE,10.275
2022,OH02501,1,103,UTC,FALSE,7.84
2022,OH02501,2,201,PROVEN40,FALSE,6.995
2022,OH02501,2,202,UTC,FALSE,7.25
2022,IL03501,1,102,PROVEN40,FALSE,8.85
2022,IL03501,1,103,UTC,FALSE,9.45
2022,IL03501,2,201,PROVEN40,FALSE,9.42
2022,IL03501,2,202,UTC,FALSE,8.92
2022,IL04501,1,102,PROVEN40,TRUE,1.87
2022,IL04501,1,103,UTC,TRUE,2.75
2022,IL04501,2,201,PROVEN40,TRUE,2.55
2022,IL04501,2,202,UTC,TRUE,2.03
2022,NC01501,1,102,PROVEN40,TRUE,7.57
2022,NC01501,1,103,UTC,TRUE,8.73
2022,NC01501,2,201,PROVEN40,TRUE,7.84
2022,NC01501,2,202,UTC,TRUE,8.19
2022,SC01501,1,102,PROVEN40,TRUE,5.82
2022,SC01501,1,103,UTC,TRUE,4.89
2022,SC01501,2,201,PROVEN40,TRUE,4.32
2022,SC01501,2,202,UTC,TRUE,5.11
2022,IA05501,1,102,PROVEN40,TRUE,3.925
2022,IA05501,1,103,UTC,TRUE,4.695
2022,IA05501,2,201,PROVEN40,TRUE,4.675
2022,IA05501,2,202,UTC,TRUE,4.275
2022,MO01501,1,102,PROVEN40,FALSE,2.76
2022,MO01501,1,103,UTC,FALSE,3.75
2022,MO01501,2,201,PROVEN40,FALSE,3.39
2022,MO01501,2,202,UTC,FALSE,5.19
2022,IN02501,1,102,PROVEN40,TRUE,7.96
2022,IN02501,1,103,UTC,TRUE,10.26
2022,IN02501,2,201,PROVEN40,TRUE,7.28
2022,IN02501,2,202,UTC,TRUE,7.77
2022,MI02501,1,102,PROVEN40,FALSE,4.135
2022,MI02501,1,103,UTC,FALSE,3.165
2022,MI02501,2,201,PROVEN40,FALSE,3.205
2022,MI02501,2,202,UTC,FALSE,2.295
2022,MS01501,1,103,UTC,TRUE,3.96
2022,MS01501,2,201,PROVEN40,TRUE,5.92
2022,MS01501,2,202,UTC,TRUE,6.49
2022,KS01501,1,102,PROVEN40,TRUE,9.26
2022,KS01501,1,103,UTC,TRUE,11.4
2022,KS01501,2,201,PROVEN40,TRUE,9.97
2022,KS01501,2,202,UTC,TRUE,11.23
2022,OK01501,1,102,PROVEN40,TRUE,3.9
2022,OK01501,1,103,UTC,TRUE,2.8
2022,OK01501,2,201,PROVEN40,TRUE,1.84
2022,OK01501,2,202,UTC,TRUE,2
2022,MN03501,1,102,PROVEN40,TRUE,2.83
2022,MN03501,1,103,UTC,TRUE,5.13
2022,MN03501,2,201,PROVEN40,TRUE,0.73
2022,MN03501,2,202,UTC,TRUE,3.29
2022,MS03501,1,102,PROVEN40,FALSE,10.99
2022,MS03501,1,103,UTC,FALSE,7.08
2022,MS03501,2,201,PROVEN40,FALSE,4.31
2022,MS03501,2,202,UTC,FALSE,3.99
