Year,Rep,N_rate_lbac,Microbe,yield_buac
2021,1,0,PROVEN40,134.19
2021,1,0,UTC,119.36
2021,1,95,PROVEN40,227.3
2021,1,95,UTC,217.71
2021,1,175,PROVEN40,243.04
2021,1,175,UTC,227.34
2021,1,215,PROVEN40,257.32
2021,1,215,UTC,272.11
2021,1,255,PROVEN40,268.71
2021,1,255,UTC,246.52
2021,2,135,PROVEN40,258.33
2021,2,135,UTC,274.29
2021,2,0,PROVEN40,145.12
2021,2,0,UTC,139.5
2021,2,255,PROVEN40,274.43
2021,2,255,UTC,255.5
2021,2,215,PROVEN40,302.06
2021,2,215,UTC,262.98
2021,2,175,PROVEN40,253.52
2021,2,175,UTC,235.89
2021,2,95,PROVEN40,238.15
2021,2,95,UTC,203.37
2021,3,135,PROVEN40,221.94
2021,3,135,UTC,212.29
2021,3,175,PROVEN40,244.57
2021,3,175,UTC,232.15
2021,3,215,PROVEN40,276.12
2021,3,215,UTC,277.72
2021,3,95,PROVEN40,233.02
2021,3,95,UTC,216.65
2021,3,255,PROVEN40,274.61
2021,3,255,UTC,281.71
2021,3,0,PROVEN40,130.77
2021,3,0,UTC,100.77
2021,1,135,PROVEN40,244.66
2021,1,135,UTC,265.48
2021,4,175,PROVEN40,248.19
2021,4,175,UTC,236.94
2021,4,95,PROVEN40,228.44
2021,4,95,UTC,202.98
2021,4,255,PROVEN40,261.3
2021,4,255,UTC,264.41
2021,4,0,PROVEN40,127.73
2021,4,0,UTC,121.23
2021,4,215,PROVEN40,282.95
2021,4,215,UTC,277.51
2021,4,135,PROVEN40,254.1
2021,4,135,UTC,234.89
2021,5,95,PROVEN40,197.53
2021,5,95,UTC,179.75
2021,5,135,PROVEN40,216.14
2021,5,135,UTC,215.68
2021,5,255,PROVEN40,274.09
2021,5,255,UTC,280.61
2021,5,0,PROVEN40,144.57
2021,5,0,UTC,122.38
2021,5,215,PROVEN40,304.8
2021,5,215,UTC,267
2021,5,175,PROVEN40,264.23
2021,5,175,UTC,258.65
2021,6,255,PROVEN40,250.12
2021,6,255,UTC,248.24
2021,6,175,PROVEN40,252.4
2021,6,175,UTC,265.59
2021,6,135,PROVEN40,260.06
2021,6,135,UTC,238.1
2021,6,215,PROVEN40,269.04
2021,6,215,UTC,256.9
2021,6,95,PROVEN40,262.36
2021,6,95,UTC,248.4
2021,6,0,PROVEN40,147.49
2021,6,0,UTC,109.66
2021,7,95,PROVEN40,250.61
2021,7,95,UTC,244.08
2021,7,135,PROVEN40,265.06
2021,7,135,UTC,257.2
2021,7,0,PROVEN40,153.15
2021,7,0,UTC,141.7
2021,7,215,PROVEN40,305.4
2021,7,215,UTC,312.1
2021,7,175,PROVEN40,318.96
2021,7,175,UTC,314.89
2021,7,255,PROVEN40,326.67
2021,7,255,UTC,318.28
2021,8,0,PROVEN40,117.11
2021,8,0,UTC,129.84
2021,8,255,PROVEN40,272.64
2021,8,255,UTC,285.38
2021,8,95,PROVEN40,266.89
2021,8,95,UTC,264.3
2021,8,135,PROVEN40,302.03
2021,8,135,UTC,251.3
2021,8,175,PROVEN40,275.71
2021,8,175,UTC,300.16
2021,8,215,PROVEN40,269.63
2021,8,215,UTC,285.63
2022,1,215,PROVEN40,236.8
2022,1,215,UTC,238.36
2022,1,175,PROVEN40,220.62
2022,1,175,UTC,222.33
2022,1,135,PROVEN40,213.21
2022,1,135,UTC,203.48
2022,1,0,PROVEN40,111
2022,1,0,UTC,101.12
2022,1,255,PROVEN40,268.87
2022,1,255,UTC,244.04
2022,1,95,PROVEN40,207.29
2022,1,95,UTC,192.7
2022,2,255,PROVEN40,251.17
2022,2,255,UTC,246.05
2022,2,215,PROVEN40,242.77
2022,2,215,UTC,257.33
2022,2,95,PROVEN40,198.99
2022,2,95,UTC,208.92
2022,2,175,PROVEN40,249
2022,2,175,UTC,228.65
2022,2,0,PROVEN40,112.17
2022,2,0,UTC,110.09
2022,2,135,PROVEN40,220.99
2022,2,135,UTC,225.47
2022,3,95,PROVEN40,209.25
2022,3,95,UTC,211.88
2022,3,135,PROVEN40,237.89
2022,3,135,UTC,236.14
2022,3,0,PROVEN40,146.06
2022,3,0,UTC,137.79
2022,3,215,PROVEN40,268.1
2022,3,215,UTC,253.6
2022,3,255,PROVEN40,256.71
2022,3,255,UTC,247.84
2022,3,175,PROVEN40,250.59
2022,3,175,UTC,242.08
2022,4,175,PROVEN40,235.96
2022,4,175,UTC,247.95
2022,4,95,PROVEN40,218.32
2022,4,95,UTC,213.72
2022,4,255,PROVEN40,258.52
2022,4,255,UTC,252.22
2022,4,215,PROVEN40,258.16
2022,4,215,UTC,270.24
2022,4,135,PROVEN40,233.38
2022,4,135,UTC,236.06
2022,4,0,PROVEN40,132.37
2022,4,0,UTC,133.7
2022,5,135,PROVEN40,236.38
2022,5,135,UTC,234.21
2022,5,255,PROVEN40,235.11
2022,5,255,UTC,234.91
2022,5,175,PROVEN40,219.15
2022,5,175,UTC,226.54
2022,5,0,PROVEN40,148.81
2022,5,0,UTC,143.86
2022,5,95,PROVEN40,195.95
2022,5,95,UTC,203.25
2022,5,215,PROVEN40,240.95
2022,5,215,UTC,244.98
2022,6,215,PROVEN40,252.03
2022,6,215,UTC,269.71
2022,6,0,PROVEN40,151.02
2022,6,0,UTC,142.62
2022,6,95,PROVEN40,200.12
2022,6,95,UTC,207.37
2022,6,255,PROVEN40,254.99
2022,6,255,UTC,262.4
2022,6,175,PROVEN40,228.22
2022,6,175,UTC,229.97
2022,6,135,PROVEN40,225.18
2022,6,135,UTC,234.72
2022,7,175,PROVEN40,239.61
2022,7,175,UTC,223.12
2022,7,0,PROVEN40,107.67
2022,7,0,UTC,96.52
2022,7,135,PROVEN40,197.27
2022,7,135,UTC,195.05
2022,7,95,PROVEN40,205.4
2022,7,95,UTC,181.05
2022,7,255,PROVEN40,201.37
2022,7,255,UTC,200.96
2022,7,215,PROVEN40,239.92
2022,7,215,UTC,246.36
2022,8,135,PROVEN40,200.06
2022,8,135,UTC,199.41
2022,8,255,PROVEN40,250.66
2022,8,255,UTC,241.29
2022,8,215,PROVEN40,244.04
2022,8,215,UTC,220.11
2022,8,175,PROVEN40,212.62
2022,8,175,UTC,221.27
2022,8,0,PROVEN40,116.67
2022,8,0,UTC,86.42
2022,8,95,PROVEN40,186.19
2022,8,95,UTC,189.84
